userID,top,top score,top ratio,p / n,p n score,p n ratio,anger,anticip,disgust,fear,joy,n,p,sad,sur,trust,sum emotions,total tweets,no of active days,no. of times night,least 1,least 2,least 3,least 4,least 5,least 6,least 7,most 1,most 2,most 3,most 4,most 5,most 6,most 7
anonymous1,fear,40,0.101156069,p,60,0.173410405,0.069364162,0.115,0.040462428,0.115606936,0.080924855,0.164739884,0.173410405,0.101156069,0.046242775,0.092,0.998907514,61,34,2,1,1,1,1,1,1,1,4,4,4,3,3,3,3
anonymous2,anticip,387,0.115463918,p,614,0.210996564,0.059450172,0.132,0.044329897,0.068728522,0.115463918,0.117869416,0.210996564,0.060824742,0.056701031,0.132,0.998364261,733,52,179,1,1,1,1,1,1,1,87,59,58,49,48,46,38
anonymous3,fear,257,0.101943673,n,441,0.174930583,0.090440301,0.077,0.06505355,0.101943673,0.06307021,0.174930583,0.165,0.085,0.044,0.131,0.997438318,398,39,119,1,1,2,2,2,2,2,42,28,25,24,22,19,19
anonymous4,anger,63,0.148,n,89,0.146226415,0.148,0.096,0.042,0.073,0.073,0.146226415,0.209,0.07,0.056,0.082,0.995226415,894,57,134,1,1,1,1,2,2,2,45,39,36,33,32,30,29
anonymous5,joy,25,0.135869565,p,44,0.239130435,0.076,0.125,0.027,0.086,0.135,0.103,0.239,0.043,0.043,0.119,0.996,202,49,42,1,1,1,1,1,2,2,10,10,9,9,9,7,7
anonymous6,trust,172,0.114743162,p,281,0.187458306,0.076,0.114,0.054,0.076,0.1,0.148,0.187458306,0.069,0.058,0.114743162,0.997201468,416,57,44,1,1,1,1,1,2,2,27,23,21,20,18,17,14
anonymous7,anger,121,0.136,p,193,0.217097863,0.136,0.103,0.03,0.049,0.094,0.159,0.217,0.042,0.044,0.121,0.995,298,57,39,1,1,1,1,1,1,1,13,12,11,10,9,8,8
anonymous8,trust,492,0.158839252,P,904,0.345169912,0.027,0.108,0.017,0.019,0.158,0.047,0.345,0.034,0.053,0.187,0.995,348,58,4,1,1,1,2,2,2,2,21,14,13,12,12,12,11
anonymous9,anger,92,0.123,p,246,0.213171577,0.123,0.079722704,0.0467,0.073,0.0571,0.162,0.213,0.078,0.045,0.12,0.997522704,212,49,24,1,1,1,1,1,1,1,16,14,13,11,9,9,8
anonymous10,trust,599,0.1017294,p,880,0.22380468,0.063,0.096,0.045,0.074,0.1017294,0.135,0.223,0.067,0.039,0.152,0.9957294,927,39,225,1,1,1,1,1,2,2,175,141,91,81,45,33,24
anonymous11,trust,61,0.081677704,p,107,0.236203091,0.061,0.108,0.057,0.072,0.081677704,0.15,0.236203091,0.044,0.052,0.134,0.995880795,238,57,38,1,1,1,1,1,1,1,13,12,11,11,9,9,8
anonymous12,joy,135,0.157342657,p,250,0.291375291,0.032,0.127,0.023,0.055,0.157342657,0.064,0.291375291,0.033,0.06,0.153,0.995717949,221,59,11,1,1,1,1,1,1,1,15,14,11,11,11,9,9
anonymous13,anticip,59,0.183800623,p,107,0.333333333,0.024,0.183800623,0.012,0.024,0.158,0.059,0.333333333,0.031,0.046,0.124,0.995133956,176,59,9,1,1,1,1,1,1,1,8,8,7,7,6,6,6
anonymous14,anger,408,0.14555833,n,530,0.189083125,0.14555833,0.074,0.062,0.087,0.053,0.189083125,0.163,0.075,0.057,0.089,0.994641456,738,59,64,2,2,3,3,4,5,5,41,31,26,24,23,22,21
anonymous15,trust,347,0.130549285,p,622,0.234010534,0.054,0.094,0.035,0.087,0.123,0.128,0.234010534,0.067,0.043,0.130549285,0.995559819,607,56,23,1,3,3,4,4,5,5,29,23,20,20,18,18,18
anonymous16,anticip,28,0.181818182,p,39,0.253246753,0.025,0.181818182,0.051,0.012,0.175,0.09,0.253246753,0.038,0.084,0.084,0.994064935,60,34,2,1,1,1,1,1,1,1,4,4,3,3,3,3,3
anonymous17,joy,288,0.125162973,p,522,0.226857888,0.065,0.122,0.039,0.064,0.125162973,0.112,0.226857888,0.069,0.05,0.122,0.99502086,1531,60,71,4,9,9,11,13,13,13,52,51,50,49,42,40,38
anonymous18,trust,245,0.124936257,p,394,0.200917899,0.081,0.105,0.061,0.069,0.109,0.146,0.200917899,0.05,0.049,0.124936257,0.995854156,991,59,43,1,1,1,2,2,3,4,76,68,62,60,44,38,35
anonymous19,trust,812,0.137231705,p,1169,0.197566334,0.073,0.1,0.05,0.082,0.072,0.165,0.197566334,0.073,0.046,0.137231705,0.99579804,1539,60,231,1,5,6,8,9,9,10,76,45,45,44,42,42,42
anonymous20,joy,136,0.174135723,p,203,0.259923175,0.053,0.14,0.021,0.043,0.174135723,0.065,0.259923175,0.071,0.061,0.107,0.995058899,266,59,71,1,1,1,1,1,1,2,15,13,13,11,10,9,9
anonymous21,trust,314,0.169638033,p,540,0.291734198,0.047,0.119,0.019,0.0561,0.109,0.098,0.291,0.042,0.046,0.169638033,0.996738033,507,58,44,1,1,1,1,1,2,2,32,23,22,19,18,16,16
